Player,Rec Yds,Rec Tar,Rec Tds,Rec YAC,Rush Yds,Rush Att,Rush Tds,Pass Yds,Pass Tds,Pass Att,Fumbles,Interceptions,Total Fantasy Pts,Team
"Philip Rivers (SD, QB)",0,0,0,0,52,29,0,4710,30,541,7,13,273.2,SD
"Drew Brees (NO, QB)",7,1,0,16,-3,18,0,4634,33,659,9,22,255.39999999999998,NO
"Eli Manning (NYG, QB)",0,0,0,0,70,32,0,4002,31,541,7,25,227.0,NYG
"Carson Palmer (ARI, QB)",0,0,0,0,50,32,0,3985,26,587,7,20,214.0,CIN
"Aaron Rodgers (GB, QB)",0,0,0,0,356,64,4,3922,28,475,4,11,297.6,GB
"Tom Brady (NE, QB)",0,0,0,0,30,31,1,3900,36,493,3,4,295.0,NE
"Matt Ryan (ATL, QB)",0,0,0,0,122,46,0,3705,28,572,5,9,244.2,ATL
"Joe Flacco (BAL, QB)",0,0,0,0,84,43,1,3622,25,489,9,10,220.39999999999998,BAL
"Sam Bradford (MIN, QB)",0,0,0,0,63,27,1,3512,18,591,7,15,180.3,STL
"Chad Henne (JAC, QB)",0,0,0,0,52,35,0,3298,15,494,5,18,150.2,MIA
"Mark Sanchez (CHI, QB)",0,0,0,0,105,30,3,3291,17,508,9,13,183.5,NYJ
"Ben Roethlisberger (PIT, QB)",0,0,0,0,176,33,2,3200,17,389,6,5,203.6,PIT
"Matt Cassel (TEN, QB)",0,0,0,0,125,33,0,3116,27,450,3,7,224.5,KC
"Alex Smith (KC, QB)",0,0,0,0,60,18,0,2381,14,343,4,10,129.0,SF
"Derek Anderson (CAR, QB)",0,0,0,0,25,5,0,2065,7,328,6,10,80.5,ARI
"Colt McCoy (WAS, QB)",13,1,0,7,136,28,1,1565,6,221,1,9,86.9,CLE
"Matt Moore (MIA, QB)",0,0,0,0,25,5,0,857,5,143,4,10,28.5,CAR
"Drew Stanton (ARI, QB)",0,0,0,0,113,18,1,780,4,119,3,3,52.3,DET
"Matthew Stafford (DET, QB)",0,0,0,0,11,4,1,535,6,96,2,1,46.1,DET
"Joe Webb (CAR, QB)",9,0,0,0,120,18,2,480,0,89,1,3,35.9,MIN
"Brian Hoyer (SF, QB)",0,0,0,0,-8,10,0,122,1,15,0,1,5.2,NE
"Josh Johnson (NYG, QB)",0,1,0,0,39,4,0,111,0,16,0,0,7.9,TB
"Chase Daniel (NO, QB)",0,0,0,0,16,2,0,16,0,3,1,0,-0.3999999999999999,NO
"Kellen Clemens (SD, QB)",0,0,0,0,9,2,1,6,0,2,0,0,6.9,NYJ
