Player,Rec Yds,Rec Tar,Rec Tds,Rec YAC,Rush Yds,Rush Att,Rush Tds,Pass Yds,Pass Tds,Pass Att,Fumbles,Interceptions,Total Fantasy Pts,Team
"Drew Brees (NO, QB)",0,0,0,0,86,21,1,5535,46,660,1,14,389.6,NO
"Aaron Rodgers (GB, QB)",0,0,0,0,257,60,3,4637,45,501,3,6,390.7,GB
"Matthew Stafford (DET, QB)",0,0,0,0,78,22,0,5047,41,666,5,16,330.8,DET
"Tom Brady (NE, QB)",0,0,0,0,109,43,3,5239,39,611,6,12,357.9,NE
"Matt Ryan (ATL, QB)",0,0,0,0,89,36,2,4177,29,566,5,12,269.9,ATL
"Eli Manning (NYG, QB)",0,0,0,0,15,35,1,4910,29,588,8,16,271.5,NYG
"Philip Rivers (SD, QB)",0,0,0,0,36,26,1,4624,27,582,9,20,243.60000000000002,SD
"Mark Sanchez (CHI, QB)",0,0,0,0,103,37,6,3474,26,542,10,18,232.3,NYJ
"Ben Roethlisberger (PIT, QB)",0,0,0,0,70,31,0,4077,21,513,8,14,210.0,PIT
"Cam Newton (CAR, QB)",27,1,0,32,709,125,14,4051,21,517,5,17,360.6,CAR
"Joe Flacco (BAL, QB)",-8,1,0,-8,90,40,1,3610,20,542,11,12,193.2,BAL
"Andy Dalton (CIN, QB)",0,1,0,0,152,37,1,3398,20,516,4,13,202.2,CIN
"Alex Smith (KC, QB)",0,0,0,0,179,52,2,3150,17,446,7,5,199.9,SF
"Matt Moore (MIA, QB)",0,0,0,0,72,32,2,2504,16,347,14,9,137.2,MIA
"Colt McCoy (WAS, QB)",-5,2,0,-5,214,60,0,2733,14,463,11,11,142.9,CLE
"Carson Palmer (ARI, QB)",0,0,0,0,20,16,1,2751,13,328,2,16,134.0,OAK
"Matt Cassel (TEN, QB)",-4,1,0,0,99,25,0,1713,10,269,5,9,90.5,KC
"Sam Bradford (MIN, QB)",0,0,0,0,26,18,0,2157,6,357,9,6,82.6,STL
"Chad Henne (JAC, QB)",0,0,0,0,101,14,1,868,4,112,1,4,56.099999999999994,MIA
"T.J. Yates (BUF, QB)",0,0,0,0,57,14,0,949,3,134,5,3,38.7,HOU
"Joe Webb (CAR, QB)",9,6,0,0,154,22,2,376,3,63,1,2,50.3,MIN
"Kellen Clemens (SD, QB)",0,1,0,0,37,6,1,546,2,91,2,1,32.7,STL
"Josh McCown (NYJ, QB)",0,0,0,0,68,12,0,414,2,55,2,4,18.8,CHI
"Josh Johnson (NYG, QB)",0,2,0,0,67,11,0,246,1,34,1,2,13.7,TB
"Brian Hoyer (SF, QB)",0,0,0,0,-3,4,0,22,0,1,0,0,-0.3,NE
"Tyrod Taylor (BUF, QB)",0,0,0,0,2,1,0,18,0,1,0,0,0.2,BAL
"Colin Kaepernick (SF, QB)",0,0,0,0,-2,2,0,35,0,5,0,0,0.8,SF
"Chase Daniel (NO, QB)",0,0,0,0,-3,3,0,29,0,5,0,0,0.7,NO
"Derek Anderson (CAR, QB)",0,0,0,0,-2,2,0,0,0,0,0,0,-0.2,CAR
