Player,Rec Yds,Rec Tar,Rec Tds,Rec YAC,Rush Yds,Rush Att,Rush Tds,Pass Yds,Pass Tds,Pass Att,Fumbles,Interceptions,Total Fantasy Pts,Team
"Matthew Stafford (DET, QB)",3,1,0,2,127,36,4,4965,20,727,6,17,269.0,DET
"Drew Brees (NO, QB)",0,0,0,0,5,15,1,5177,43,670,5,19,337.5,NO
"Tom Brady (NE, QB)",0,0,0,0,32,23,4,4799,34,637,2,8,334.2,NE
"Andrew Luck (IND, QB)",0,0,0,0,255,62,5,4374,23,627,10,18,265.5,IND
"Matt Ryan (ATL, QB)",0,0,0,0,141,34,1,4719,32,615,3,14,302.1,ATL
"Carson Palmer (ARI, QB)",0,0,0,0,36,18,1,4018,22,564,7,14,215.60000000000002,OAK
"Aaron Rodgers (GB, QB)",-1,1,0,5,259,54,2,4303,39,554,5,8,339.8,GB
"Sam Bradford (MIN, QB)",0,0,0,0,128,38,1,3702,21,552,6,13,212.8,STL
"Eli Manning (NYG, QB)",0,0,0,0,30,20,0,3948,26,536,4,15,226.0,NYG
"Joe Flacco (BAL, QB)",0,0,0,0,22,32,3,3817,22,531,9,10,222.2,BAL
"Andy Dalton (CIN, QB)",0,0,0,0,120,47,4,3669,27,529,4,16,250.0,CIN
"Philip Rivers (SD, QB)",0,1,0,0,40,27,0,3607,26,527,15,15,192.0,SD
"Brandon Weeden (HOU, QB)",-9,0,0,7,112,27,0,3385,14,517,6,17,155.3,CLE
"Cam Newton (CAR, QB)",6,0,0,4,741,127,8,3869,19,485,10,12,308.7,CAR
"Ryan Tannehill (MIA, QB)",0,0,0,0,197,49,2,3294,12,484,8,13,168.7,MIA
"Mark Sanchez (CHI, QB)",0,0,0,0,28,22,0,2844,13,452,14,18,103.80000000000001,NYJ
"Ben Roethlisberger (PIT, QB)",0,0,0,0,92,26,0,3252,25,448,6,8,211.2,PIT
"Russell Wilson (SEA, QB)",0,0,0,0,489,94,4,3111,26,393,6,10,268.9,SEA
"Chad Henne (JAC, QB)",0,0,0,0,64,19,1,2092,11,306,4,11,109.4,JAC
"Matt Cassel (TEN, QB)",0,0,0,0,145,27,1,1796,6,277,8,12,75.5,KC
"Nick Foles (PHI, QB)",0,0,0,0,42,11,1,1701,6,265,8,5,76.2,PHI
"Colin Kaepernick (SF, QB)",0,0,0,0,417,63,5,1809,10,218,9,3,159.7,SF
"Alex Smith (KC, QB)",0,0,0,0,132,30,0,1737,13,218,3,5,118.19999999999999,SF
"Brian Hoyer (SF, QB)",0,0,0,0,6,1,0,330,1,53,1,2,11.600000000000001,ARI
"Kirk Cousins (WAS, QB)",0,0,0,0,22,3,0,466,4,48,1,3,28.200000000000003,WAS
"Tyrod Taylor (BUF, QB)",0,0,0,0,73,14,1,179,0,29,0,1,18.3,BAL
"Matt Moore (MIA, QB)",0,0,0,0,-3,5,0,131,1,19,0,0,8.7,MIA
"Colt McCoy (WAS, QB)",0,0,0,0,15,4,0,79,1,17,0,0,8.5,CLE
"T.J. Yates (BUF, QB)",0,0,0,0,-1,2,1,38,0,10,2,1,0.9000000000000004,HOU
"Ryan Mallett (BAL, QB)",0,0,0,0,-10,8,0,17,0,4,0,1,-3.0,NE
"Derek Anderson (CAR, QB)",0,0,0,0,0,0,0,58,0,4,0,0,2.0,CAR
"Brock Osweiler (CLE, QB)",0,0,0,0,-13,8,0,12,0,4,0,0,-1.3,DEN
"Kellen Clemens (SD, QB)",0,0,0,0,5,2,0,39,0,3,1,1,-2.5,STL
"Chase Daniel (NO, QB)",0,0,0,0,19,3,0,10,0,1,0,0,1.9,NO
"Joe Webb (CAR, QB)",0,0,0,0,-1,1,0,0,0,0,0,0,-0.1,MIN
"Josh Johnson (NYG, QB)",0,0,0,0,0,0,0,0,0,0,1,0,-2.0,CLE
