Player,Rec Yds,Rec Tar,Rec Tds,Rec YAC,Rush Yds,Rush Att,Rush Tds,Pass Yds,Pass Tds,Pass Att,Fumbles,Interceptions,Total Fantasy Pts,Team
"David Johnson (ARI, RB)",879,120,4,661,1239,293,16,0,0,0,5,0,361.8,ARI
"Ezekiel Elliott (DAL, RB)",363,40,1,380,1631,322,15,0,0,0,5,0,301.4,DAL
"LeSean McCoy (BUF, RB)",356,58,1,398,1267,234,13,0,0,0,3,0,265.8,BUF
"Latavius Murray (MIN, RB)",264,43,0,275,788,195,12,0,0,0,2,0,189.7,OAK
"Devonta Freeman (ATL, RB)",462,65,2,416,1079,227,11,0,0,0,1,0,257.1,ATL
"Melvin Gordon (SD, RB)",419,57,2,411,997,254,10,0,0,0,2,0,230.10000000000002,SD
"Jeremy Hill (CIN, RB)",174,27,0,164,839,222,9,0,0,0,0,0,165.8,CIN
"Jonathan Stewart (CAR, RB)",60,21,0,74,824,218,9,0,0,0,3,0,140.4,CAR
"DeMarco Murray (TEN, RB)",377,67,3,320,1287,293,9,10,1,2,2,0,264.9,TEN
"Mike Gillislee (NE, RB)",50,11,1,44,576,101,8,0,0,0,1,0,119.1,BUF
"Jay Ajayi (MIA, RB)",151,35,0,132,1272,261,8,0,0,0,4,0,195.8,MIA
"Tevin Coleman (ATL, RB)",421,40,3,359,520,118,8,0,0,0,1,0,173.6,ATL
"Ryan Mathews (PHI, RB)",115,14,1,107,661,155,8,0,0,0,3,0,132.1,PHI
"Le'Veon Bell (PIT, RB)",616,94,2,665,1268,261,7,0,0,1,4,0,271.9,PIT
"Robert Turbin (IND, RB)",179,35,1,218,164,47,7,0,0,0,0,0,95.3,IND
"Isaiah Crowell (CLE, RB)",319,53,0,325,944,197,7,0,0,0,2,0,184.3,CLE
"Christine Michael (GB, RB)",107,29,1,122,583,148,7,0,0,0,2,0,124.0,SEA
"Matt Forte (NYJ, RB)",263,43,1,274,813,218,7,0,0,0,1,0,168.6,NYJ
"Carlos Hyde (SF, RB)",163,33,3,145,988,217,6,0,0,0,5,0,172.6,SF
"Mark Ingram (NO, RB)",319,58,4,324,1044,205,6,0,0,0,2,0,215.3,NO
"Jordan Howard (CHI, RB)",298,50,1,284,1313,252,6,0,0,0,2,0,213.60000000000002,CHI
"Rob Kelley (WAS, RB)",82,18,1,78,704,168,6,0,0,0,0,0,126.60000000000001,WAS
"Todd Gurley (LA, RB)",327,58,0,348,885,278,6,0,0,0,2,0,174.7,LA
"Terrance West (BAL, RB)",236,45,1,234,774,193,5,0,0,0,2,0,150.0,BAL
"Derrick Henry (TEN, RB)",137,15,0,124,490,110,5,0,0,0,0,0,99.2,TEN
"Lamar Miller (HOU, RB)",188,39,1,174,1073,268,5,0,0,0,2,0,173.6,HOU
"Shaun Draughn (NYG, RB)",263,39,2,186,196,74,4,0,0,0,1,0,94.4,SF
"Frank Gore (IND, RB)",277,47,4,286,1026,263,4,0,0,0,2,0,193.3,IND
"Jeremy Langford (CHI, RB)",142,27,0,130,200,62,4,0,0,0,2,0,63.7,CHI
"C.J. Anderson (DEN, RB)",128,24,1,104,437,110,4,0,0,0,0,0,94.5,DEN
"Tim Hightower (SF, RB)",200,26,1,210,548,133,4,0,0,0,0,0,115.8,NO
"Devontae Booker (DEN, RB)",265,46,1,253,612,174,4,0,0,0,4,0,125.19999999999999,DEN
"Chris Thompson (WAS, RB)",349,62,2,252,356,68,3,0,0,0,2,0,121.0,WAS
"Doug Martin (TB, RB)",134,16,0,107,421,144,3,0,0,0,1,0,78.5,TB
"Thomas Rawls (SEA, RB)",96,17,0,82,349,109,3,0,0,0,0,0,69.0,SEA
"Matt Jones (WAS, RB)",73,8,0,57,460,99,3,0,0,0,3,0,69.3,WAS
"Ty Montgomery (GB, RB)",348,56,0,323,457,77,3,0,0,0,2,0,116.5,GB
"Bilal Powell (NYJ, RB)",388,75,2,420,722,131,3,0,0,0,1,0,168.0,NYJ
"Spencer Ware (KC, RB)",447,42,2,388,922,214,3,0,0,0,4,0,175.4,KC
"Damien Williams (MIA, RB)",249,31,3,200,115,35,3,0,0,0,1,0,81.9,MIA
"Chris Ivory (JAC, RB)",186,28,0,189,439,117,3,0,0,0,6,0,78.5,JAC
"Giovani Bernard (CIN, RB)",336,51,1,250,337,91,2,0,0,0,1,0,102.80000000000001,CIN
"Kenyan Drake (MIA, RB)",46,10,0,59,179,33,2,0,0,0,0,0,39.0,MIA
"Jacquizz Rodgers (TB, RB)",98,16,0,90,560,129,2,0,0,0,0,0,84.3,TB
"Orleans Darkwa (NYG, RB)",12,4,0,17,111,30,2,0,0,0,0,0,25.3,NYG
"Kenneth Dixon (BAL, RB)",162,41,1,186,382,88,2,0,0,0,1,0,85.4,BAL
"Darren Sproles (PHI, RB)",427,71,2,407,438,94,2,0,0,0,1,0,134.5,PHI
"Rex Burkhead (NE, RB)",145,20,0,142,344,74,2,0,0,0,1,0,67.4,CIN
"Alfred Morris (DAL, RB)",11,6,0,11,243,69,2,0,0,0,0,0,38.900000000000006,DAL
"Kerwynn Williams (ARI, RB)",6,2,0,7,157,18,2,0,0,0,0,0,28.8,ARI
"Jerick McKinnon (MIN, RB)",255,53,2,271,539,159,2,0,0,1,0,0,124.9,MIN
"Cameron Artis-Payne (CAR, RB)",11,1,0,15,144,36,2,0,0,0,0,0,28.0,CAR
"Kenjon Barner (SD, RB)",42,11,0,47,129,27,2,0,0,0,0,0,31.6,PHI
"DeAndre Washington (OAK, RB)",115,23,0,115,467,86,2,0,0,0,1,0,76.7,OAK
"Terrell Watson (PHI, RB)",5,1,0,0,28,9,1,0,0,0,0,0,9.8,PHI
"Shane Vereen (NYG, RB)",94,19,0,88,158,33,1,0,0,0,2,0,32.7,NYG
"Charles Sims (TB, RB)",190,32,1,175,149,51,1,0,0,0,1,0,55.9,TB
"Theo Riddick (DET, RB)",371,67,5,385,357,92,1,0,0,0,0,0,135.3,DET
"Lance Dunbar (LA, RB)",122,24,0,83,31,9,1,0,0,0,1,0,27.3,DAL
"Corey Grant (JAC, RB)",35,7,1,32,164,32,1,0,0,0,0,0,33.9,JAC
"Alfred Blue (HOU, RB)",40,16,0,28,420,100,1,0,0,0,2,0,54.0,HOU
"Mike Davis (SF, RB)",25,5,0,15,50,19,1,0,0,0,1,0,13.0,SF
"George Atkinson (CLE, RB)",0,0,0,0,34,7,1,0,0,0,1,0,7.4,CLE
"C.J. Prosise (SEA, RB)",208,19,0,111,172,30,1,0,0,0,0,0,52.5,SEA
"Jonathan Williams (BUF, RB)",0,2,0,2,94,27,1,0,0,1,2,0,11.9,BUF
"Jalen Richard (OAK, RB)",194,39,2,135,492,84,1,0,0,0,0,0,101.1,OAK
"Wendell Smallwood (PHI, RB)",55,13,0,50,312,77,1,0,0,0,1,0,43.7,PHI
"Mack Brown (WAS, RB)",-2,1,0,1,82,8,1,0,0,0,0,0,14.5,WAS
"Peyton Barber (TB, RB)",28,6,0,14,223,55,1,0,0,0,0,0,33.6,TB
"Akeem Hunt (HOU, RB)",29,4,0,37,111,21,1,0,0,0,2,0,17.5,HOU
"Dwayne Washington (DET, RB)",62,15,0,71,265,90,1,0,0,0,0,0,43.7,DET
"Alex Collins (SEA, RB)",84,11,0,81,125,31,1,0,0,0,2,0,28.4,SEA
"Charcandrick West (KC, RB)",188,34,2,186,293,88,1,0,0,0,0,0,80.1,KC
"Juwan Thompson (DEN, RB)",0,1,0,0,26,8,1,0,0,0,0,0,8.6,DEN
"Duke Johnson (CLE, RB)",514,74,0,426,366,74,1,0,0,1,2,0,116.5,CLE
"T.J. Yeldon (JAC, RB)",312,68,1,346,465,130,1,0,0,0,2,0,110.7,JAC
"Troymaine Pope (SEA, RB)",5,2,0,2,44,12,0,0,0,0,0,0,5.4,SEA
"Danny Woodhead (BAL, RB)",35,8,1,31,116,19,0,0,0,0,0,0,24.1,SD
"Darren McFadden (DAL, RB)",17,5,0,25,87,24,0,0,0,0,0,0,11.899999999999999,DAL
"Cedric Peerman (CIN, RB)",0,1,0,0,15,6,0,0,0,0,0,0,1.5,CIN
"C.J. Spiller (KC, RB)",50,13,1,28,18,6,0,0,0,0,1,0,13.8,NYJ
"Taiwan Jones (OAK, RB)",43,4,0,59,-8,1,0,0,0,0,0,0,5.5,OAK
"Dion Lewis (NE, RB)",94,24,0,83,283,64,0,0,0,0,1,0,44.2,NE
"DuJuan Harris (SF, RB)",115,9,1,122,138,38,0,0,0,0,2,0,31.299999999999997,SF
"Patrick DiMarco (BUF, RB)",52,10,1,29,0,0,0,0,0,0,0,0,14.7,ATL
"Joe Banyard (BUF, RB)",0,0,0,0,7,2,0,0,0,0,0,0,0.7,JAC
"Travaris Cadet (NO, RB)",281,54,4,196,19,4,0,0,0,0,0,0,74.0,NO
"Brandon Bolden (NE, RB)",15,4,0,13,4,1,0,0,0,0,0,0,2.9,NE
"Daryl Richardson (JAC, RB)",0,0,0,0,7,2,0,0,0,0,0,0,0.7,PIT
