Player,Rec Yds,Rec Tar,Rec Tds,Rec YAC,Rush Yds,Rush Att,Rush Tds,Pass Yds,Pass Tds,Pass Att,Fumbles,Interceptions,Total Fantasy Pts,Team
"Jeremy Hill (CIN, RB)",79,19,1,87,794,223,11,0,0,0,3,0,153.3,CIN
"Devonta Freeman (ATL, RB)",578,97,3,432,1061,264,11,0,0,0,3,0,241.89999999999998,ATL
"Todd Gurley (LA, RB)",188,26,0,212,1108,229,10,0,0,0,3,0,183.6,STL
"Lamar Miller (HOU, RB)",397,57,2,416,872,194,8,0,0,0,1,0,184.9,MIA
"David Johnson (ARI, RB)",457,57,4,335,581,125,8,0,0,0,4,0,167.8,ARI
"Chris Ivory (JAC, RB)",217,37,1,271,1070,247,7,0,0,0,4,0,168.7,NYJ
"Latavius Murray (MIN, RB)",232,53,0,242,1066,267,6,0,0,0,5,0,155.79999999999998,OAK
"Frank Gore (IND, RB)",267,58,1,273,967,260,6,0,0,0,4,0,157.4,IND
"Jeremy Langford (CHI, RB)",279,42,1,228,537,148,6,0,0,0,0,0,123.6,CHI
"Ryan Mathews (PHI, RB)",146,28,1,147,539,108,6,0,0,0,3,0,104.5,PHI
"Mark Ingram (NO, RB)",397,59,0,437,768,164,6,0,0,0,2,0,148.5,NO
"DeMarco Murray (TEN, RB)",322,55,1,347,699,194,6,0,0,0,3,0,138.10000000000002,PHI
"Jonathan Stewart (CAR, RB)",99,21,1,112,989,242,6,0,0,0,3,0,144.8,CAR
"Doug Martin (TB, RB)",271,44,1,231,1402,288,6,0,0,0,5,0,199.29999999999998,TB
"Spencer Ware (KC, RB)",5,6,0,12,403,72,6,0,0,0,0,0,76.8,KC
"C.J. Anderson (DEN, RB)",183,36,0,149,720,152,5,0,0,0,2,0,116.3,DEN
"Tim Hightower (SF, RB)",129,13,0,134,375,96,4,0,0,0,0,0,74.4,NO
"Isaiah Crowell (CLE, RB)",182,22,1,228,706,185,4,0,0,0,0,0,118.8,CLE
"Thomas Rawls (SEA, RB)",76,11,1,76,830,147,4,0,0,0,1,0,118.6,SEA
"Matt Forte (NYJ, RB)",389,58,3,343,898,218,4,0,0,0,1,0,168.7,CHI
"Charcandrick West (KC, RB)",214,34,1,232,634,160,4,0,0,0,1,0,112.8,KC
"Marshawn Lynch (OAK, RB)",80,21,0,87,417,111,3,0,0,0,0,0,67.7,SEA
"Darren Sproles (PHI, RB)",388,83,1,359,317,83,3,0,0,0,1,0,92.5,PHI
"Darren McFadden (DAL, RB)",328,53,0,300,1089,239,3,0,0,1,3,0,153.7,DAL
"Eddie Lacy (SEA, RB)",188,28,2,213,758,187,3,0,0,0,4,0,116.6,GB
"Mike Gillislee (NE, RB)",29,7,0,31,267,47,3,0,0,0,1,0,45.599999999999994,BUF
"Le'Veon Bell (PIT, RB)",136,26,0,139,556,113,3,0,0,0,0,0,87.2,PIT
"Carlos Hyde (SF, RB)",53,15,0,61,470,116,3,0,0,0,2,0,66.3,SF
"Antonio Andrews (TEN, RB)",174,29,0,161,520,143,3,41,1,1,1,0,90.4,TEN
"Matt Jones (WAS, RB)",304,25,1,266,490,144,3,0,0,0,5,0,93.4,WAS
"Andre Ellington (ARI, RB)",148,24,0,72,289,45,3,0,0,0,1,0,59.7,ARI
"Danny Woodhead (BAL, RB)",756,107,6,717,335,97,3,0,0,0,0,0,163.1,SD
"LeSean McCoy (BUF, RB)",292,49,2,286,895,203,3,0,0,0,2,0,144.7,BUF
"Jerick McKinnon (MIN, RB)",173,29,1,186,271,52,2,0,0,0,0,0,62.400000000000006,MIN
"Ameer Abdullah (DET, RB)",183,38,1,203,598,143,2,0,0,0,5,0,86.1,DET
"T.J. Yeldon (JAC, RB)",279,46,1,298,740,182,2,0,0,0,0,0,119.9,JAC
"Ka'Deem Carey (CHI, RB)",19,3,1,8,159,43,2,0,0,0,1,0,33.8,CHI
"Alfred Blue (HOU, RB)",109,16,1,68,698,183,2,0,0,0,2,0,94.69999999999999,HOU
"Giovani Bernard (CIN, RB)",472,66,0,456,730,154,2,0,0,0,1,0,130.2,CIN
"James White (NE, RB)",410,54,4,342,56,22,2,0,0,0,0,0,82.6,NE
"Dion Lewis (NE, RB)",388,50,2,343,234,49,2,0,0,0,2,0,82.19999999999999,NE
"Lorenzo Taliaferro (BAL, RB)",29,5,0,27,47,13,1,0,0,0,0,0,13.6,BAL
"Bilal Powell (NYJ, RB)",388,63,2,420,313,70,1,0,0,0,2,0,84.1,NYJ
"Shaun Draughn (NYG, RB)",176,35,0,170,273,78,1,0,0,0,1,0,48.900000000000006,SF
"Alfred Morris (DAL, RB)",55,13,0,42,763,202,1,0,0,0,0,0,87.8,WAS
"Robert Turbin (IND, RB)",23,10,0,26,199,50,1,0,0,0,0,0,28.2,DAL
"Fozzy Whittaker (CAR, RB)",64,15,0,112,108,25,1,0,0,0,0,0,23.200000000000003,CAR
"Kerwynn Williams (ARI, RB)",16,2,0,7,142,27,1,0,0,0,1,0,19.799999999999997,ARI
"Knile Davis (PIT, RB)",24,3,0,27,72,28,1,0,0,0,0,0,15.6,KC
"Orleans Darkwa (NYG, RB)",31,5,0,26,153,37,1,0,0,0,0,0,24.400000000000002,NYG
"Andre Williams (SD, RB)",7,3,0,3,257,88,1,0,0,0,0,0,32.4,NYG
"Bishop Sankey (MIN, RB)",139,23,1,133,193,47,1,0,0,0,2,0,41.2,TEN
"Javorius Allen (BAL, RB)",353,62,2,287,516,138,1,0,0,0,2,0,100.9,BAL
"Jay Ajayi (MIA, RB)",90,11,0,56,187,49,1,0,0,0,0,0,33.7,MIA
"Cameron Artis-Payne (CAR, RB)",58,5,0,61,183,45,1,0,0,0,0,0,30.1,CAR
"Terron Ward (ATL, RB)",73,13,0,59,95,29,1,0,0,0,0,0,22.8,ATL
"Tevin Coleman (ATL, RB)",14,11,0,11,392,87,1,0,0,0,3,0,40.6,ATL
"David Cobb (CHI, RB)",-2,2,0,3,146,52,1,0,0,0,0,0,20.4,TEN
"Theo Riddick (DET, RB)",697,99,3,658,133,43,0,0,0,0,1,0,99.0,DET
"Taiwan Jones (OAK, RB)",106,9,1,114,72,15,0,0,0,0,2,0,19.8,OAK
