Player,Rec Yds,Rec Tar,Rec Tds,Rec YAC,Rush Yds,Rush Att,Rush Tds,Pass Yds,Pass Tds,Pass Att,Fumbles,Interceptions,Total Fantasy Pts,Team
"Jason Witten (DAL, TE)",1030,124,2,453,0,0,0,0,0,0,0,0,138.5,DAL
"Antonio Gates (SD, TE)",1157,114,8,473,0,0,0,0,0,0,1,0,181.45,SD
"Brent Celek (PHI, TE)",971,112,8,447,0,0,0,0,0,0,0,0,164.1,PHI
"Greg Olsen (CAR, TE)",612,108,8,176,0,0,0,0,0,0,0,0,124.2,CHI
"Marcedes Lewis (JAC, TE)",518,59,2,166,0,0,0,0,0,0,1,0,69.8,JAC
"Anthony Fasano (MIA, TE)",339,54,2,107,0,0,0,0,0,0,2,0,49.65,MIA
"Benjamin Watson (BAL, TE)",404,41,5,93,0,0,0,0,0,0,0,0,77.65,NE
"Delanie Walker (TEN, TE)",233,33,0,159,34,3,0,0,0,0,2,0,27.95,SF
"Martellus Bennett (GB, TE)",159,30,0,67,0,0,0,0,0,0,0,0,19.65,DAL
"Zach Miller (CHI, TE)",212,27,2,144,3,1,0,0,0,0,0,0,38.75,JAC
"Jared Cook (OAK, TE)",74,15,0,36,0,0,0,0,0,0,0,0,9.65,TEN
"John Phillips (NO, TE)",62,9,0,45,0,0,0,0,0,0,1,0,5.95,DAL
"David Johnson (PIT, TE)",9,4,0,5,0,0,0,0,0,0,0,0,1.4,PIT
