Player,Rec Yds,Rec Tar,Rec Tds,Rec YAC,Rush Yds,Rush Att,Rush Tds,Pass Yds,Pass Tds,Pass Att,Fumbles,Interceptions,Total Fantasy Pts,Team
"Jason Witten (DAL, TE)",1039,147,3,317,0,0,0,0,0,0,0,0,176.9,DAL
"Jimmy Graham (SEA, TE)",982,135,9,306,0,0,0,0,0,0,1,0,192.7,NO
"Greg Olsen (CAR, TE)",843,104,5,259,0,0,0,0,0,0,0,0,148.8,CAR
"Rob Gronkowski (NE, TE)",790,79,11,300,0,0,0,0,0,0,1,0,170.5,NE
"Jermaine Gresham (ARI, TE)",737,94,5,405,0,0,0,0,0,0,2,0,131.7,CIN
"Brent Celek (PHI, TE)",684,88,1,295,0,0,0,0,0,0,1,0,100.9,PHI
"Dennis Pitta (BAL, TE)",669,94,7,251,0,0,0,0,0,0,0,0,139.4,BAL
"Martellus Bennett (GB, TE)",626,90,5,205,0,0,0,0,0,0,0,0,120.1,NYG
"Marcedes Lewis (JAC, TE)",540,77,4,242,0,0,0,0,0,0,0,0,104.0,JAC
"Antonio Gates (SD, TE)",538,80,7,130,0,0,0,0,0,0,0,0,120.3,SD
"Jared Cook (OAK, TE)",523,72,4,157,0,0,0,0,0,0,1,0,96.3,TEN
"Dwayne Allen (NE, TE)",521,66,3,242,5,3,0,0,0,0,1,0,91.1,IND
"Lance Kendricks (GB, TE)",519,64,4,225,0,0,0,0,0,0,1,0,94.9,STL
"Benjamin Watson (BAL, TE)",501,82,3,220,0,0,0,0,0,0,1,0,90.6,CLE
"Kyle Rudolph (MIN, TE)",493,93,9,275,0,0,0,0,0,0,0,0,129.8,MIN
"Rob Housler (NE, TE)",417,68,0,182,0,0,0,0,0,0,0,0,64.2,ARI
"Delanie Walker (TEN, TE)",339,39,3,50,0,0,0,0,0,0,1,0,60.4,SF
"Anthony Fasano (MIA, TE)",332,69,5,90,0,0,0,0,0,0,0,0,83.7,MIA
"Jeff Cumberland (SD, TE)",320,52,3,92,0,0,0,0,0,0,0,0,64.0,NYJ
"Logan Paulsen (SF, TE)",308,38,1,122,0,0,0,0,0,0,0,0,49.3,WAS
"Coby Fleener (NO, TE)",281,48,2,95,0,0,0,0,0,0,0,0,53.1,IND
"Ed Dickson (CAR, TE)",225,33,0,83,0,0,0,0,0,0,0,0,33.0,BAL
"Charles Clay (BUF, TE)",212,33,2,81,0,0,0,0,0,0,0,0,42.2,MIA
"Luke Stocker (TB, TE)",165,27,1,89,0,0,0,0,0,0,0,0,30.5,TB
"Niles Paul (WAS, TE)",152,15,1,56,-1,1,0,0,0,0,1,0,23.099999999999998,WAS
"Michael Hoomanawanui (NO, TE)",109,7,0,48,0,0,0,0,0,0,0,0,13.4,NE
"James Hanna (DAL, TE)",86,11,0,50,0,0,0,0,0,0,0,0,12.6,DAL
"Rhett Ellison (NYG, TE)",65,9,0,66,0,0,0,0,0,0,0,0,10.0,MIN
"Virgil Green (DEN, TE)",63,6,0,62,0,0,0,0,0,0,0,0,8.8,DEN
"Ladarius Green (PIT, TE)",56,4,0,42,0,0,0,0,0,0,0,0,7.6,SD
"John Phillips (NO, TE)",55,10,1,6,0,0,0,0,0,0,0,0,15.5,DAL
"Garrett Celek (SF, TE)",51,7,0,21,0,0,0,0,0,0,0,0,7.1,SF
"Cory Harkey (LA, TE)",21,2,0,7,0,0,0,0,0,0,0,0,2.6,STL
"Lee Smith (OAK, TE)",13,4,2,5,0,0,0,0,0,0,0,0,15.3,BUF
