Player,Rec Yds,Rec Tar,Rec Tds,Rec YAC,Rush Yds,Rush Att,Rush Tds,Pass Yds,Pass Tds,Pass Att,Fumbles,Interceptions,Total Fantasy Pts,Team
"Rob Gronkowski (NE, TE)",790,79,11,300,0,0,0,0,0,0,1,0,198.0,NE
"Jimmy Graham (SEA, TE)",982,135,9,306,0,0,0,0,0,0,1,0,235.2,NO
"Kyle Rudolph (MIN, TE)",493,93,9,275,0,0,0,0,0,0,0,0,156.3,MIN
"Antonio Gates (SD, TE)",538,80,7,130,0,0,0,0,0,0,0,0,144.8,SD
"Dennis Pitta (BAL, TE)",669,94,7,251,0,0,0,0,0,0,0,0,169.9,BAL
"Martellus Bennett (GB, TE)",626,90,5,205,0,0,0,0,0,0,0,0,147.6,NYG
"Anthony Fasano (MIA, TE)",332,69,5,90,0,0,0,0,0,0,0,0,104.2,MIA
"Greg Olsen (CAR, TE)",843,104,5,259,0,0,0,0,0,0,0,0,183.3,CAR
"Jermaine Gresham (ARI, TE)",737,94,5,405,0,0,0,0,0,0,2,0,163.7,CIN
"Marcedes Lewis (JAC, TE)",540,77,4,242,0,0,0,0,0,0,0,0,130.0,JAC
"Lance Kendricks (GB, TE)",519,64,4,225,0,0,0,0,0,0,1,0,115.9,STL
"Jared Cook (OAK, TE)",523,72,4,157,0,0,0,0,0,0,1,0,118.3,TEN
"Delanie Walker (TEN, TE)",339,39,3,50,0,0,0,0,0,0,1,0,70.9,SF
"Benjamin Watson (BAL, TE)",501,82,3,220,0,0,0,0,0,0,1,0,115.1,CLE
"Jason Witten (DAL, TE)",1039,147,3,317,0,0,0,0,0,0,0,0,231.9,DAL
"Dwayne Allen (NE, TE)",521,66,3,242,5,3,0,0,0,0,1,0,113.6,IND
"Jeff Cumberland (SD, TE)",320,52,3,92,0,0,0,0,0,0,0,0,78.0,NYJ
"Coby Fleener (NO, TE)",281,48,2,95,0,0,0,0,0,0,0,0,66.1,IND
"Lee Smith (OAK, TE)",13,4,2,5,0,0,0,0,0,0,0,0,17.3,BUF
"Charles Clay (BUF, TE)",212,33,2,81,0,0,0,0,0,0,0,0,51.2,MIA
"Brent Celek (PHI, TE)",684,88,1,295,0,0,0,0,0,0,1,0,129.4,PHI
"Luke Stocker (TB, TE)",165,27,1,89,0,0,0,0,0,0,0,0,38.5,TB
"Niles Paul (WAS, TE)",152,15,1,56,-1,1,0,0,0,0,1,0,27.099999999999998,WAS
"John Phillips (NO, TE)",55,10,1,6,0,0,0,0,0,0,0,0,19.5,DAL
"Logan Paulsen (SF, TE)",308,38,1,122,0,0,0,0,0,0,0,0,61.8,WAS
"Ladarius Green (PIT, TE)",56,4,0,42,0,0,0,0,0,0,0,0,9.6,SD
"Rhett Ellison (NYG, TE)",65,9,0,66,0,0,0,0,0,0,0,0,13.5,MIN
"James Hanna (DAL, TE)",86,11,0,50,0,0,0,0,0,0,0,0,16.6,DAL
"Michael Hoomanawanui (NO, TE)",109,7,0,48,0,0,0,0,0,0,0,0,15.9,NE
"Ed Dickson (CAR, TE)",225,33,0,83,0,0,0,0,0,0,0,0,43.5,BAL
"Rob Housler (NE, TE)",417,68,0,182,0,0,0,0,0,0,0,0,86.7,ARI
"Virgil Green (DEN, TE)",63,6,0,62,0,0,0,0,0,0,0,0,11.3,DEN
"Garrett Celek (SF, TE)",51,7,0,21,0,0,0,0,0,0,0,0,9.1,SF
"Cory Harkey (LA, TE)",21,2,0,7,0,0,0,0,0,0,0,0,3.1,STL
