Player,Rec Yds,Rec Tar,Rec Tds,Rec YAC,Rush Yds,Rush Att,Rush Tds,Pass Yds,Pass Tds,Pass Att,Fumbles,Interceptions,Total Fantasy Pts,Team
"Jimmy Graham (SEA, TE)",1215,142,16,406,0,0,0,0,0,0,0,0,217.5,NO
"Julius Thomas (MIA, TE)",788,90,12,403,0,0,0,0,0,0,0,0,150.8,DEN
"Antonio Gates (SD, TE)",872,113,4,398,0,0,0,0,0,0,2,0,107.2,SD
"Martellus Bennett (GB, TE)",759,94,5,369,0,0,0,0,0,0,1,0,103.9,CHI
"Charles Clay (BUF, TE)",737,99,5,356,15,7,1,0,0,0,0,0,111.2,MIA
"Greg Olsen (CAR, TE)",816,111,6,328,0,0,0,0,0,0,0,0,117.6,CAR
"Jason Witten (DAL, TE)",851,111,8,327,0,0,0,0,0,0,0,0,133.1,DAL
"Brent Celek (PHI, TE)",502,51,6,284,0,0,0,0,0,0,1,0,84.2,PHI
"Jermaine Gresham (ARI, TE)",461,68,4,268,0,0,0,0,0,0,3,0,64.1,CIN
"Jared Cook (OAK, TE)",671,85,5,260,0,0,0,0,0,0,1,0,95.1,STL
"Coby Fleener (NO, TE)",608,87,4,256,0,0,0,0,0,0,1,0,82.8,IND
"Jordan Reed (WAS, TE)",499,59,3,248,18,1,0,0,0,0,0,0,69.7,WAS
"Marcedes Lewis (JAC, TE)",359,47,4,229,0,0,0,0,0,0,1,0,57.9,JAC
"Tyler Eifert (CIN, TE)",445,60,2,227,0,0,0,0,0,0,0,0,56.5,CIN
"Rob Housler (NE, TE)",454,57,1,199,0,0,0,0,0,0,1,0,49.4,ARI
"Rob Gronkowski (NE, TE)",592,66,4,194,0,0,0,0,0,0,0,0,83.2,NE
"Luke Willson (SEA, TE)",257,27,1,176,0,0,0,0,0,0,0,0,31.7,SEA
"Delanie Walker (TEN, TE)",571,86,6,173,0,0,0,0,0,0,1,0,91.1,TEN
"Ladarius Green (PIT, TE)",376,29,3,166,0,0,0,0,0,0,0,0,55.6,SD
"Zach Ertz (PHI, TE)",469,57,4,158,0,0,0,0,0,0,0,0,70.9,PHI
"Jeff Cumberland (SD, TE)",398,40,4,154,0,0,0,0,0,0,0,0,63.8,NYJ
"Sean McGrath (SD, TE)",302,40,2,140,0,0,0,0,0,0,0,0,42.2,KC
"Kyle Rudolph (MIN, TE)",313,46,3,122,0,0,0,0,0,0,0,0,49.3,MIN
"Cory Harkey (LA, TE)",113,18,2,113,0,0,0,0,0,0,0,0,23.3,STL
"Lance Kendricks (GB, TE)",258,46,4,108,0,0,0,0,0,0,0,0,49.8,STL
"Ed Dickson (CAR, TE)",273,43,1,101,0,0,0,0,0,0,0,0,33.3,BAL
"Ryan Griffin (HOU, TE)",252,28,1,98,0,0,0,0,0,0,0,0,31.2,HOU
"Logan Paulsen (SF, TE)",267,50,3,96,0,0,0,0,0,0,2,0,40.7,WAS
"Mychal Rivera (JAC, TE)",407,59,4,91,0,0,0,0,0,0,0,0,64.7,OAK
"Benjamin Watson (BAL, TE)",212,29,2,80,0,0,0,0,0,0,0,0,33.2,NO
"Anthony Fasano (MIA, TE)",200,34,3,73,0,0,0,0,0,0,0,0,38.0,KC
"Michael Hoomanawanui (NO, TE)",136,19,1,71,0,0,0,0,0,0,0,0,19.6,NE
"Brandon Bostick (NYJ, TE)",120,14,1,62,0,0,0,0,0,0,0,0,18.0,GB
"James Hanna (DAL, TE)",73,15,0,61,0,0,0,0,0,0,0,0,7.3,DAL
"Vance McDonald (SF, TE)",119,19,0,47,0,0,0,0,0,0,0,0,11.9,SF
"Dennis Pitta (BAL, TE)",169,33,1,42,0,0,0,0,0,0,0,0,22.9,BAL
"Lee Smith (OAK, TE)",78,9,0,41,0,0,0,0,0,0,0,0,7.8,BUF
"Rhett Ellison (NYG, TE)",61,10,1,40,0,0,0,0,0,0,0,0,12.1,MIN
"Gavin Escobar (KC, TE)",134,15,2,37,0,0,0,0,0,0,0,0,25.4,DAL
"Josh Hill (NO, TE)",44,10,1,33,-8,1,0,0,0,0,0,0,9.6,NO
"Garrett Celek (SF, TE)",38,4,0,32,0,0,0,0,0,0,1,0,1.7999999999999998,SF
"David Johnson (PIT, TE)",70,6,0,31,0,0,0,0,0,0,0,0,7.0,PIT
"Levine Toilolo (ATL, TE)",55,14,2,27,0,0,0,0,0,0,0,0,17.5,ATL
"Niles Paul (WAS, TE)",51,8,0,22,0,0,0,0,0,0,0,0,5.1,WAS
"Virgil Green (DEN, TE)",45,12,0,19,0,0,0,0,0,0,0,0,4.5,DEN
"John Phillips (NO, TE)",30,6,0,17,0,0,0,0,0,0,0,0,3.0,SD
"Chris Gragg (BUF, TE)",53,7,1,10,0,0,0,0,0,0,0,0,11.3,BUF
"Dwayne Allen (NE, TE)",20,2,1,5,0,0,0,0,0,0,0,0,8.0,IND
"Dion Sims (CHI, TE)",32,10,1,4,0,0,0,0,0,0,0,0,9.2,MIA
"Brandon Williams (IND, TE)",0,0,0,0,0,0,0,0,0,0,0,0,0.0,CAR
"Jake Stoneburner (NO, TE)",0,0,0,0,0,0,0,0,0,0,0,0,0.0,GB
