Player,Rec Yds,Rec Tar,Rec Tds,Rec YAC,Rush Yds,Rush Att,Rush Tds,Pass Yds,Pass Tds,Pass Att,Fumbles,Interceptions,Team Pass Yds,Team Pass Tds,Team Pass Att,Comp %,Team Rush Yds,Team Rush Tds,Team Rush Att,2014 FP
"Jimmy Graham (SEA, TE)",1215,142,16,406,0,0,0,0,0,0,0,0,3508,27,420,0.6013986013986014,2188,14,509
"Antonio Gates (SD, TE)",872,113,4,398,0,0,0,0,0,0,2,0,4478,32,545,0.6754385964912281,1961,9,486
"Jason Witten (DAL, TE)",851,111,8,327,0,0,0,0,0,0,0,0,4238,33,586,0.6517857142857143,1507,12,336
"Greg Olsen (CAR, TE)",816,111,6,328,0,0,0,0,0,0,0,0,3379,24,473,0.6517857142857143,2018,14,482
"Julius Thomas (MIA, TE)",788,90,12,403,0,0,0,0,0,0,0,0,3926,23,586,0.7142857142857143,1373,8,341
"Martellus Bennett (GB, TE)",759,94,5,369,0,0,0,0,0,0,1,0,4538,25,570,0.6842105263157895,2137,17,458
"Charles Clay (BUF, TE)",737,99,5,356,15,7,1,0,0,0,0,0,3373,16,522,0.67,2307,15,546
"Jared Cook (OAK, TE)",671,85,5,260,0,0,0,0,0,0,1,0,3632,17,517,0.5930232558139535,1994,16,435
"Coby Fleener (NO, TE)",608,87,4,256,0,0,0,0,0,0,1,0,5139,39,649,0.5909090909090909,1476,10,387
"Rob Gronkowski (NE, TE)",592,66,4,194,0,0,0,0,0,0,0,0,4338,25,626,0.582089552238806,2052,19,468
"Delanie Walker (TEN, TE)",571,86,6,173,0,0,0,0,0,0,1,0,3710,22,533,0.6896551724137931,1894,16,462
"Brent Celek (PHI, TE)",502,51,6,284,0,0,0,0,0,0,1,0,4401,32,507,0.6153846153846154,2557,19,501
"Jordan Reed (WAS, TE)",499,59,3,248,18,1,0,0,0,0,0,0,4065,20,612,0.75,2150,14,454
"Zach Ertz (PHI, TE)",469,57,4,158,0,0,0,0,0,0,0,0,4401,32,507,0.6206896551724138,2557,19,501
"Jermaine Gresham (ARI, TE)",461,68,4,268,0,0,0,0,0,0,3,0,4291,24,574,0.6666666666666666,1540,12,422
"Rob Housler (NE, TE)",454,57,1,199,0,0,0,0,0,0,1,0,4338,25,626,0.6724137931034483,2052,19,468
"Tyler Eifert (CIN, TE)",445,60,2,227,0,0,0,0,0,0,0,0,4321,33,587,0.639344262295082,1755,14,481
"Mychal Rivera (JAC, TE)",407,59,4,91,0,0,0,0,0,0,0,0,3751,16,592,0.6333333333333333,1260,7,376
"Jeff Cumberland (SD, TE)",398,40,4,154,0,0,0,0,0,0,0,0,4478,32,545,0.6341463414634146,1961,9,486
"Ladarius Green (PIT, TE)",376,29,3,166,0,0,0,0,0,0,0,0,4192,28,572,0.5666666666666667,1373,9,391
"Marcedes Lewis (JAC, TE)",359,47,4,229,0,0,0,0,0,0,1,0,3751,16,592,0.5208333333333334,1260,7,376
"Kyle Rudolph (MIN, TE)",313,46,3,122,0,0,0,0,0,0,0,0,3645,18,546,0.6382978723404256,2081,23,423
"Sean McGrath (SD, TE)",302,40,2,140,0,0,0,0,0,0,0,0,4478,32,545,0.6341463414634146,1961,9,486
"Ed Dickson (CAR, TE)",273,43,1,101,0,0,0,0,0,0,0,0,3379,24,473,0.5681818181818182,2018,14,482
"Logan Paulsen (SF, TE)",267,50,3,96,0,0,0,0,0,0,2,0,3210,21,417,0.5490196078431373,2201,18,505
"Lance Kendricks (GB, TE)",258,46,4,108,0,0,0,0,0,0,0,0,4538,25,570,0.6808510638297872,2137,17,458
"Luke Willson (SEA, TE)",257,27,1,176,0,0,0,0,0,0,0,0,3508,27,420,0.6785714285714286,2188,14,509
"Ryan Griffin (HOU, TE)",252,28,1,98,0,0,0,0,0,0,0,0,4183,19,631,0.6551724137931034,1743,7,414
"Benjamin Watson (BAL, TE)",212,29,2,80,0,0,0,0,0,0,0,0,3914,19,619,0.6,1329,7,423
"Anthony Fasano (MIA, TE)",200,34,3,73,0,0,0,0,0,0,0,0,3926,23,586,0.6571428571428571,1373,8,341
"Dennis Pitta (BAL, TE)",169,33,1,42,0,0,0,0,0,0,0,0,3914,19,619,0.5882352941176471,1329,7,423
"Michael Hoomanawanui (NO, TE)",136,19,1,71,0,0,0,0,0,0,0,0,5139,39,649,0.6,1476,10,387
"Gavin Escobar (KC, TE)",134,15,2,37,0,0,0,0,0,0,0,0,3567,24,545,0.5625,2057,17,442
"Brandon Bostick (NYJ, TE)",120,14,1,62,0,0,0,0,0,0,0,0,3270,13,480,0.4666666666666667,2158,12,493
"Vance McDonald (SF, TE)",119,19,0,47,0,0,0,0,0,0,0,0,3210,21,417,0.4,2201,18,505
"Cory Harkey (LA, TE)",113,18,2,113,0,0,0,0,0,0,0,0,0,0,0,0.6842105263157895,0,0,0
"Lee Smith (OAK, TE)",78,9,0,41,0,0,0,0,0,0,0,0,3632,17,517,0.5,1994,16,435
"James Hanna (DAL, TE)",73,15,0,61,0,0,0,0,0,0,0,0,4238,33,586,0.75,1507,12,336
"David Johnson (PIT, TE)",70,6,0,31,0,0,0,0,0,0,0,0,4192,28,572,0.5714285714285714,1373,9,391
"Rhett Ellison (NYG, TE)",61,10,1,40,0,0,0,0,0,0,0,0,3875,18,567,0.45454545454545453,1333,11,381
"Levine Toilolo (ATL, TE)",55,14,2,27,0,0,0,0,0,0,0,0,4541,26,659,0.7333333333333333,1247,11,321
"Chris Gragg (BUF, TE)",53,7,1,10,0,0,0,0,0,0,0,0,3373,16,522,0.625,2307,15,546
"Niles Paul (WAS, TE)",51,8,0,22,0,0,0,0,0,0,0,0,4065,20,612,0.4444444444444444,2150,14,454
"Virgil Green (DEN, TE)",45,12,0,19,0,0,0,0,0,0,0,0,5596,55,675,0.6923076923076923,1873,16,461
"Josh Hill (NO, TE)",44,10,1,33,-8,1,0,0,0,0,0,0,5139,39,649,0.5454545454545454,1476,10,387
"Garrett Celek (SF, TE)",38,4,0,32,0,0,0,0,0,0,1,0,3210,21,417,0.4,2201,18,505
"Dion Sims (CHI, TE)",32,10,1,4,0,0,0,0,0,0,0,0,4448,32,580,0.5454545454545454,1862,13,403
"John Phillips (NO, TE)",30,6,0,17,0,0,0,0,0,0,0,0,5139,39,649,0.5714285714285714,1476,10,387
