Player,Rec Yds,Rec Tar,Rec Tds,Rec YAC,Rush Yds,Rush Att,Rush Tds,Pass Yds,Pass Tds,Pass Att,Fumbles,Interceptions,Total Fantasy Pts,Team
"Brandon Marshall (NYG, WR)",1120,154,10,515,39,7,0,0,0,0,0,0,276.9,DEN
"Larry Fitzgerald (ARI, WR)",1092,154,13,312,0,0,0,0,0,0,0,0,284.2,ARI
"Steve Smith (BAL, WR)",982,128,7,327,22,5,0,0,0,0,1,0,205.39999999999998,CAR
"DeSean Jackson (TB, WR)",1167,118,9,404,137,11,1,0,0,0,3,0,247.39999999999998,PHI
"Pierre Garcon (SF, WR)",765,92,4,284,10,2,0,0,0,0,1,0,146.5,IND
"Devin Hester (SEA, WR)",757,91,3,293,-1,6,0,0,0,0,3,0,144.6,CHI
"Jeremy Maclin (KC, WR)",762,90,4,241,-7,2,0,0,0,0,0,0,154.5,PHI
"Michael Crabtree (OAK, WR)",625,86,2,219,0,0,0,0,0,0,1,0,120.5,SF
"Eddie Royal (CHI, WR)",345,79,0,124,1,1,0,0,0,0,2,0,67.6,DEN
"Ted Ginn (NO, WR)",454,78,1,43,48,7,0,0,0,0,2,0,90.2,MIA
"Kenny Britt (CLE, WR)",701,75,3,180,0,0,0,0,0,0,1,0,128.1,TEN
"Mike Wallace (BAL, WR)",756,72,6,143,48,5,0,0,0,0,1,0,153.4,PIT
"Danny Amendola (NE, WR)",326,63,1,186,-2,3,0,0,0,0,4,0,73.39999999999999,STL
"Julian Edelman (NE, WR)",359,54,1,257,5,2,0,0,0,0,1,0,77.4,NE
"Darrius Heyward-Bey (PIT, WR)",124,40,1,12,19,2,0,0,0,0,0,0,29.299999999999997,OAK
"Jordy Nelson (GB, WR)",320,31,2,89,0,0,0,0,0,0,3,0,60.0,GB
"Eric Weems (TEN, WR)",50,6,2,22,53,8,0,0,0,0,3,0,22.3,ATL
"Brandon Tate (BUF, WR)",0,2,0,0,11,1,0,0,0,0,0,0,1.1,NE
"Matthew Slater (NE, WR)",0,0,0,0,6,1,0,0,0,0,0,0,0.6,NE
