Player,Rec Yds,Rec Tar,Rec Tds,Rec YAC,Rush Yds,Rush Att,Rush Tds,Pass Yds,Pass Tds,Pass Att,Fumbles,Interceptions,Total Fantasy Pts,Team
"Jordy Nelson (GB, WR)",1263,96,15,411,0,0,0,0,0,0,0,0,250.3,GB
"Dez Bryant (DAL, WR)",928,103,9,348,5,1,0,0,0,0,3,0,172.8,DAL
"Eric Decker (NYJ, WR)",612,94,8,177,1,1,0,0,0,1,1,0,129.29999999999998,DEN
"Julio Jones (ATL, WR)",959,95,8,407,56,6,0,0,0,0,1,0,174.5,ATL
"Larry Fitzgerald (ARI, WR)",1411,154,8,516,0,0,0,0,0,0,0,0,229.1,ARI
"Mike Wallace (BAL, WR)",1193,114,8,480,57,5,0,0,0,0,1,0,207.0,PIT
"Steve Smith (BAL, WR)",1394,129,7,446,56,6,0,0,0,0,3,0,220.5,CAR
"A.J. Green (CIN, WR)",1057,115,7,278,53,5,0,0,0,0,1,0,183.5,CIN
"Torrey Smith (PHI, WR)",841,95,7,238,39,4,0,0,0,0,1,0,153.0,BAL
"Brandon Marshall (NYG, WR)",1221,141,6,312,0,0,0,0,0,0,1,0,196.6,MIA
"Pierre Garcon (SF, WR)",947,134,6,357,28,4,0,0,0,0,2,0,164.5,IND
"Jeremy Maclin (KC, WR)",859,96,5,262,1,1,0,0,0,0,1,0,145.5,PHI
"Darrius Heyward-Bey (PIT, WR)",975,115,4,264,0,0,0,0,0,0,1,0,151.5,OAK
"Doug Baldwin (SEA, WR)",788,85,4,310,-2,1,0,0,0,0,0,0,128.10000000000002,SEA
"DeSean Jackson (TB, WR)",961,104,4,236,41,7,0,0,0,0,1,0,151.2,PHI
"Michael Crabtree (OAK, WR)",880,115,4,365,0,0,0,0,0,0,0,0,148.5,SF
"Demaryius Thomas (DEN, WR)",551,70,4,113,5,1,0,0,0,1,0,0,95.6,DEN
"Arrelious Benn (JAC, WR)",441,51,3,174,-7,6,0,0,0,0,0,0,76.39999999999999,TB
"Golden Tate (DET, WR)",382,58,3,158,14,5,0,0,0,0,1,0,73.10000000000001,SEA
"Kenny Britt (CLE, WR)",289,26,3,122,0,0,0,0,0,0,1,0,53.4,TEN
"Emmanuel Sanders (DEN, WR)",288,43,2,128,0,0,0,15,0,1,0,0,51.8,PIT
"Andre Roberts (ATL, WR)",586,98,2,226,27,3,0,0,0,0,1,0,96.8,ARI
"Antonio Brown (PIT, WR)",1108,124,2,372,41,7,0,0,0,0,0,0,161.4,PIT
"Randall Cobb (GB, WR)",369,30,1,180,11,3,0,0,0,1,3,0,50.0,GB
"Devin Hester (SEA, WR)",369,56,1,148,-6,1,0,0,0,0,5,0,45.3,CHI
"Harry Douglas (TEN, WR)",498,62,1,232,3,1,0,0,0,0,0,0,75.6,ATL
"Jeremy Kerley (SF, WR)",314,47,1,100,28,5,0,41,0,1,3,0,49.699999999999996,NYJ
"Eddie Royal (CHI, WR)",155,49,1,66,48,7,0,0,0,0,0,0,35.8,DEN
"Terrelle Pryor (WAS, WR)",0,0,0,0,0,0,0,0,0,0,0,0,0.0,OAK
"Eric Weems (TEN, WR)",90,14,0,30,0,0,0,0,0,0,0,0,14.5,ATL
"Ted Ginn (NO, WR)",220,33,0,43,68,8,0,0,0,0,0,0,38.3,SF
"Danny Amendola (NE, WR)",45,6,0,25,0,0,0,0,0,0,1,0,5.0,STL
"Matthew Slater (NE, WR)",46,3,0,0,0,0,0,0,0,0,1,0,3.0999999999999996,NE
"Brandon Tate (BUF, WR)",0,0,0,0,0,0,0,0,0,0,3,0,-6.0,CIN
"Julian Edelman (NE, WR)",34,8,0,8,8,4,0,0,0,0,3,0,0.20000000000000018,NE
"Bryan Walters (JAC, WR)",27,4,0,15,0,0,0,0,0,0,0,0,4.2,SD
"Dwayne Harris (NYG, WR)",0,0,0,0,0,0,0,0,0,0,0,0,0.0,DAL
"Kamar Aiken (IND, WR)",0,0,0,0,0,0,0,0,0,0,0,0,0.0,BUF
