Player,Rec Yds,Rec Tar,Rec Tds,Rec YAC,Rush Yds,Rush Att,Rush Tds,Pass Yds,Pass Tds,Pass Att,Fumbles,Interceptions,Total Fantasy Pts,Team
"Julio Jones (ATL, WR)",1871,203,8,641,0,0,0,0,0,0,3,0,297.1,ATL
"Antonio Brown (PIT, WR)",1834,193,10,587,28,3,0,0,0,0,3,0,308.2,PIT
"DeAndre Hopkins (HOU, WR)",1521,191,11,231,0,0,0,0,0,0,1,0,271.6,HOU
"Demaryius Thomas (DEN, WR)",1304,177,6,463,0,0,0,0,0,0,2,0,214.9,DEN
"Brandon Marshall (NYG, WR)",1502,173,14,442,0,0,0,0,0,0,3,0,282.7,NYJ
"Jarvis Landry (MIA, WR)",1159,167,4,538,111,17,1,9,0,1,1,0,210.5,MIA
"Odell Beckham (NYG, WR)",1449,158,13,589,3,1,0,0,0,0,2,0,267.2,NYG
"Allen Robinson (JAC, WR)",1400,151,14,356,0,0,0,0,0,0,0,0,264.0,JAC
"Mike Evans (TB, WR)",1208,148,3,234,0,0,0,0,0,0,1,0,173.8,TB
"Larry Fitzgerald (ARI, WR)",1215,146,9,462,0,0,0,0,0,0,3,0,224.0,ARI
"Michael Crabtree (OAK, WR)",922,146,9,264,0,0,0,0,0,0,1,0,186.7,OAK
"Emmanuel Sanders (DEN, WR)",1135,136,6,387,29,3,0,0,0,0,2,0,186.4,DEN
"T.Y. Hilton (IND, WR)",1124,134,5,381,0,0,0,0,0,0,1,0,174.9,IND
"Eric Decker (NYJ, WR)",1027,132,12,214,0,0,0,0,0,0,1,0,212.7,NYJ
"A.J. Green (CIN, WR)",1297,132,10,336,0,0,0,0,0,0,1,0,230.7,CIN
"Amari Cooper (OAK, WR)",1070,130,6,373,-3,3,0,0,0,0,1,0,176.7,OAK
"Randall Cobb (GB, WR)",829,129,6,436,50,13,0,0,0,0,1,0,161.4,GB
"Brandin Cooks (NE, WR)",1140,129,9,446,18,8,0,0,0,0,1,0,209.8,NO
"Golden Tate (DET, WR)",813,129,6,526,41,6,0,0,0,0,1,0,164.4,DET
"Jordan Matthews (PHI, WR)",997,128,8,414,0,0,0,0,0,0,2,0,186.2,PHI
"Kamar Aiken (IND, WR)",944,127,5,211,0,0,0,0,0,0,1,0,159.9,BAL
"Travis Benjamin (SD, WR)",966,125,5,354,12,4,0,0,0,0,3,0,155.79999999999998,CLE
"Jeremy Maclin (KC, WR)",1088,124,8,354,11,4,0,0,0,0,2,0,197.4,KC
"Pierre Garcon (SF, WR)",777,111,6,165,0,0,0,0,0,0,0,0,149.7,WAS
"Allen Hurns (JAC, WR)",1030,105,10,369,0,0,0,0,0,0,2,0,191.0,JAC
"Donte Moncrief (IND, WR)",733,105,6,267,0,0,0,0,0,0,0,0,141.3,IND
"Marvin Jones (DET, WR)",816,103,4,283,33,5,0,0,0,0,0,0,141.4,CIN
"Doug Baldwin (SEA, WR)",1069,103,14,442,0,0,0,0,0,0,1,0,227.9,SEA
"Willie Snead (NO, WR)",990,102,3,344,0,0,0,0,0,0,3,0,146.0,NO
"John Brown (ARI, WR)",1003,101,7,324,22,3,0,0,0,0,1,0,175.0,ARI
"Ted Ginn (NO, WR)",739,97,10,241,60,4,0,0,0,0,0,0,161.9,CAR
"Sammy Watkins (BUF, WR)",1047,96,9,179,1,1,0,0,0,0,0,0,188.79999999999998,BUF
"Davante Adams (GB, WR)",483,94,1,136,0,0,0,0,0,0,0,0,79.3,GB
"Alshon Jeffery (PHI, WR)",807,94,4,175,0,0,0,0,0,0,0,0,131.7,CHI
"Terrance Williams (DAL, WR)",840,93,3,275,0,0,0,0,0,0,0,0,128.0,DAL
"Martavis Bryant (PIT, WR)",765,92,6,330,37,5,1,0,0,0,1,0,145.2,PIT
"Rueben Randle (CHI, WR)",798,90,8,202,0,0,0,0,0,0,0,0,156.3,NYG
"Keenan Allen (SD, WR)",725,89,4,236,0,0,0,0,0,0,1,0,128.0,SD
"Julian Edelman (NE, WR)",692,88,7,314,23,3,0,0,0,0,1,0,142.0,NE
"Tavon Austin (LA, WR)",473,87,5,371,434,52,4,0,0,0,2,0,166.7,STL
"Danny Amendola (NE, WR)",648,87,3,264,11,2,0,36,0,1,1,0,115.39999999999999,NE
"Stefon Diggs (MIN, WR)",720,84,4,292,13,3,0,0,0,0,2,0,119.3,MIN
"Robert Woods (LA, WR)",552,80,3,150,0,1,0,0,0,0,2,0,92.7,BUF
"Markus Wheaton (CHI, WR)",749,79,5,158,0,0,0,0,0,0,0,0,126.9,PIT
"Jamison Crowder (WAS, WR)",604,78,2,340,2,2,0,0,0,1,4,0,94.10000000000001,WAS
"Cole Beasley (DAL, WR)",536,75,5,317,0,0,0,0,0,0,2,0,105.6,DAL
"Steve Smith (BAL, WR)",670,73,3,243,0,0,0,0,0,0,0,0,108.0,BAL
"Dez Bryant (DAL, WR)",401,72,3,141,0,0,0,0,0,0,0,0,73.6,DAL
"Harry Douglas (TEN, WR)",411,72,2,130,-6,1,0,0,0,0,2,0,66.5,TEN
"Mike Wallace (BAL, WR)",473,72,2,169,6,1,0,0,0,0,0,0,79.39999999999999,MIN
"Kenny Britt (CLE, WR)",681,72,3,130,0,0,0,0,0,0,0,0,104.1,STL
"Tyler Lockett (SEA, WR)",664,69,6,249,20,5,0,0,0,0,1,0,127.9,SEA
"Jermaine Kearse (SEA, WR)",685,68,5,228,0,0,0,0,0,0,1,0,121.0,SEA
"Dorial Green-Beckham (PHI, WR)",549,67,4,144,0,0,0,0,0,0,0,0,94.9,TEN
"Devin Funchess (CAR, WR)",473,63,5,112,0,0,0,0,0,0,1,0,90.8,CAR
"Kenny Stills (MIA, WR)",440,63,3,93,0,0,0,0,0,0,0,0,75.5,MIA
"Dontrelle Inman (SD, WR)",486,63,3,187,0,0,0,0,0,0,2,0,80.1,SD
"Torrey Smith (PHI, WR)",663,62,4,213,0,0,0,0,0,0,0,0,106.8,SF
"Rishard Matthews (TEN, WR)",662,61,4,230,4,1,0,0,0,0,0,0,112.10000000000001,MIA
"Kendall Wright (CHI, WR)",408,60,3,143,17,5,0,0,0,0,0,0,78.5,TEN
