Player,Rec Yds,Rec Tar,Rec Tds,Rec YAC,Rush Yds,Rush Att,Rush Tds,Pass Yds,Pass Tds,Pass Att,Fumbles,Interceptions,Total Fantasy Pts,Team
"T.Y. Hilton (IND, WR)",1448,155,6,342,0,0,0,0,0,0,0,0,271.8,IND
"Julio Jones (ATL, WR)",1409,129,6,396,0,0,0,0,0,0,0,0,259.9,ATL
"Odell Beckham (NYG, WR)",1367,169,10,534,9,1,0,0,0,0,3,0,292.59999999999997,NYG
"Mike Evans (TB, WR)",1321,171,12,179,0,0,0,0,0,0,0,0,300.1,TB
"Antonio Brown (PIT, WR)",1284,154,12,434,9,3,0,0,0,0,0,0,307.29999999999995,PIT
"Jordy Nelson (GB, WR)",1257,152,14,361,0,0,0,0,0,0,1,0,304.7,GB
"Brandin Cooks (NE, WR)",1173,117,8,380,30,6,0,0,0,0,1,0,244.3,NO
"Amari Cooper (OAK, WR)",1149,131,5,430,0,1,0,0,0,0,2,0,222.9,OAK
"Jarvis Landry (MIA, WR)",1138,131,4,618,17,5,0,0,0,1,2,0,229.5,MIA
"Michael Thomas (NO, WR)",1137,121,9,483,0,0,0,0,0,0,2,0,255.7,NO
"Doug Baldwin (SEA, WR)",1128,125,7,472,2,3,0,15,1,1,1,0,251.0,SEA
"Julian Edelman (NE, WR)",1106,160,3,494,57,12,0,0,0,0,3,0,226.29999999999998,NE
"Demaryius Thomas (DEN, WR)",1083,144,5,322,0,0,0,0,0,0,2,0,224.3,DEN
"Golden Tate (DET, WR)",1077,135,4,619,4,10,0,0,0,0,2,0,219.1,DET
"Tyrell Williams (SD, WR)",1059,119,7,433,0,0,0,0,0,0,0,0,216.9,SD
"Pierre Garcon (SF, WR)",1041,114,3,342,0,0,0,0,0,0,0,0,201.1,WAS
"Emmanuel Sanders (DEN, WR)",1032,137,5,252,4,1,0,0,0,0,1,0,210.6,DEN
"Larry Fitzgerald (ARI, WR)",1028,151,6,366,1,1,0,0,0,1,2,0,242.9,ARI
"Mike Wallace (BAL, WR)",1017,117,4,427,31,5,0,0,0,0,1,0,198.79999999999998,BAL
"Terrelle Pryor (WAS, WR)",1007,141,4,246,21,8,1,41,0,9,1,0,208.79999999999998,CLE
"DeSean Jackson (TB, WR)",1005,100,4,281,0,0,0,0,0,0,0,0,180.5,WAS
